"","gene","tissue","prot","mrna"
"405","ENSG00000072062","uterus",1.82130981498877e-05,5.68999999482389e-05
"406","ENSG00000072110","uterus",0.000170967153101423,0.000225699999959588
"410","ENSG00000072274","uterus",5.5257831148374e-07,2.7500000010748e-05
"412","ENSG00000072501","uterus",7.5974376213823e-07,2.67999999982235e-05
"413","ENSG00000072506","uterus",0.000160609647527253,3.97000000216543e-05
"417","ENSG00000072778","uterus",5.24583105769966e-05,0.000261600000209482
"421","ENSG00000072958","uterus",9.9889492810118e-06,2.32999999986041e-05
"429","ENSG00000073578","uterus",2.1026430402471e-05,3.90999999643597e-05
"431","ENSG00000073712","uterus",4.54631489172829e-05,9.47999999262052e-05
"432","ENSG00000073921","uterus",5.7528569230566e-06,8.94999999348964e-05
"433","ENSG00000073969","uterus",1.05118629240347e-05,1.31000000103835e-05
"445","ENSG00000074800","uterus",0.00184628296233334,0.000224499999824584
"446","ENSG00000074842","uterus",0.000108248188673927,6.49000000298324e-05
"448","ENSG00000075142","uterus",9.8636558271235e-05,6.1599999976678e-05
"451","ENSG00000075239","uterus",0.000108178841196107,3.68999999864854e-05
"454","ENSG00000075415","uterus",3.29702171102665e-05,0.000187100000215403
"457","ENSG00000075618","uterus",9.36065120636081e-05,1.84999999828325e-05
"460","ENSG00000075785","uterus",0.000250210701782701,0.000106500000055235
"462","ENSG00000075856","uterus",1.41205791337938e-06,2.69999999901158e-05
"465","ENSG00000076043","uterus",3.73834757760438e-06,8.96000000697075e-05
"466","ENSG00000076201","uterus",1.57353995896884e-06,1.42999999846869e-05
"473","ENSG00000076706","uterus",4.16488434545338e-06,8.59999999517682e-05
"484","ENSG00000077312","uterus",1.01027579281939e-05,3.49000000032803e-05
"486","ENSG00000077380","uterus",1.95235170029389e-06,2.84999999994415e-05
"488","ENSG00000077549","uterus",0.000229618651976187,0.000162700000023655
"492","ENSG00000077942","uterus",9.0706439726374e-05,0.000257100000211425
"498","ENSG00000078140","uterus",1.32276940395848e-05,2.4899999994511e-05
"501","ENSG00000078369","uterus",0.000308075478006381,0.000125500000052866
"507","ENSG00000078902","uterus",2.2704699796718e-05,1.28000000103784e-05
"510","ENSG00000079246","uterus",7.22275731850005e-05,0.000104499999892425
"511","ENSG00000079257","uterus",0.000150252457164746,1.24999999997681e-05
"512","ENSG00000079308","uterus",3.84649104769475e-06,0.000110799999899886
"513","ENSG00000079332","uterus",8.57412806622821e-05,4.11000000117283e-05
"517","ENSG00000079462","uterus",5.16229281607084e-05,1.54999999939223e-05
"522","ENSG00000079785","uterus",3.79360721838462e-05,4.04999999799812e-05
"523","ENSG00000079805","uterus",1.95577024272092e-05,4.25999999899243e-05
"524","ENSG00000079819","uterus",4.79480126240503e-06,4.60999999586392e-05
"526","ENSG00000079950","uterus",1.71560618396444e-05,2.88000000159665e-05
"527","ENSG00000080371","uterus",2.99793650886455e-05,2.67999999982235e-05
"530","ENSG00000080824","uterus",0.000567989945575197,0.000165300000163114
"538","ENSG00000082153","uterus",3.68425360377795e-06,5.32999999967389e-05
"541","ENSG00000082212","uterus",1.82814271850744e-06,1.76000000075317e-05
"549","ENSG00000082898","uterus",3.20170746803093e-05,6.84999999223312e-05
"552","ENSG00000083312","uterus",4.77934696469135e-06,3.4299999996622e-05
"554","ENSG00000083520","uterus",4.20193419701772e-07,1.3399999988744e-05
"556","ENSG00000083720","uterus",2.50313422899228e-05,1.73999999886776e-05
"564","ENSG00000084207","uterus",0.00622404193375792,0.000272900000207429
"566","ENSG00000084623","uterus",1.79801712995574e-05,8.31999999443045e-05
"569","ENSG00000084733","uterus",0.000110017269229899,6.36000000514878e-05
"570","ENSG00000084754","uterus",3.46859486645243e-05,4.88999999860808e-05
"573","ENSG00000085063","uterus",0.000267364057238435,0.000233800000093768
"576","ENSG00000085377","uterus",2.80894201401963e-05,1.58000000016581e-05
"583","ENSG00000085662","uterus",0.000287924385751234,3.76000000062629e-05
"584","ENSG00000085719","uterus",2.06757699822295e-05,3.2399999984586e-05
"585","ENSG00000085733","uterus",1.6482978190879e-06,0.000127800000052268
"593","ENSG00000086061","uterus",1.29395558667155e-05,9.40000000866424e-05
"596","ENSG00000086200","uterus",7.0121235090872e-07,1.04999999983091e-05
"598","ENSG00000086289","uterus",2.38661729784061e-05,4.3200000018411e-05
"599","ENSG00000086475","uterus",4.15113707036372e-05,2.29999999990683e-05
"602","ENSG00000086598","uterus",2.30597083919513e-05,0.000105200000044154
"608","ENSG00000087086","uterus",1.60838775845651e-05,0.000452799999812106
"609","ENSG00000087087","uterus",2.01975053108894e-06,5.12000000028494e-05
"610","ENSG00000087088","uterus",8.28683952893053e-06,4.51000000126734e-05
"611","ENSG00000087191","uterus",3.0261735218576e-05,7.85999999928678e-05
"615","ENSG00000087274","uterus",3.34475814511972e-05,0.000100799999974584
"617","ENSG00000087302","uterus",7.64723853418417e-05,9.54000000650004e-05
"619","ENSG00000087365","uterus",8.58476064628632e-07,8.3599999915491e-05
